Sl No.,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,,,,,,,,,Rand,Sl.No,customerID,genderword,SeniorCitizen,PartnerWord,DependentsW,tenure,PhoneServicew,MultipleLinesw,PaperlessBillingW,Churnwords,OnlineSecurityW,OnlineBackupW,DeviceProtection_A,TechSupport_A,StreamingTV_A,StreamingMovies_A,InternetService_A,Contract_A,PaymentMethod_A,MonthlyCharges,TotalCharges,Cust_Calls,CustSegment,filter_$,,,,,,,
6446,7938-OUHIO,Male,NO,No,No,3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,98.7,293.65,1,,,,,,,,,198,875,0897-FEGMU,Female,NO,Yes,No,11,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,99.5,1056.95,1,2,1,,,,,,,
1857,2108-XWMPY,Male,NO,No,No,3,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,35.45,106.85,0,,,,,,,,,7640,876,7663-RGWBC,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,44.15,44.15,0,1,0,,,,,,,
3926,8167-GJLRN,Male,NO,No,No,3,No,No phone service,No,No,No,No,No,Yes,No,No,DSL,Month-to-month,Electronic check,30.4,82.15,0,,,,,,,,,6323,877,1120-BMWUB,Female,NO,No,No,16,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,DSL,Month-to-month,Mailed check,53.9,834.15,1,2,0,,,,,,,
6701,3237-AJGEH,Female,NO,Yes,Yes,3,No,No phone service,Yes,Yes,No,No,No,Yes,No,No,DSL,Month-to-month,Mailed check,31,95.05,0,,,,,,,,,2624,878,9124-LHCJQ,Female,NO,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Mailed check,85.45,85.45,0,1,0,,,,,,,
1465,0013-EXCHZ,Female,YES,Yes,No,3,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Fiber optic,Month-to-month,Mailed check,83.9,267.4,1,,,,,,,,,3515,879,2235-ZGKPT,Female,NO,Yes,Yes,4,Yes,Yes,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,50.85,239.55,0,1,0,,,,,,,
942,3656-TKRVZ,Female,NO,No,No,3,Yes,No,No,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,55.35,165.2,0,,,,,,,,,1693,880,3891-PUQOD,Female,NO,No,Yes,1,Yes,No,No,Yes,No,No,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,59.2,59.2,0,1,1,,,,,,,
3424,3538-WZPHD,Male,NO,No,No,3,No,No phone service,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,29.6,79.45,0,,,,,,,,,1503,881,0689-NKYLF,Male,NO,No,No,13,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Fiber optic,Month-to-month,Electronic check,83.2,1060.6,1,2,0,,,,,,,
6216,1212-GLHMD,Male,NO,No,No,3,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Fiber optic,Month-to-month,Mailed check,86.05,244.85,0,,,,,,,,,7776,882,3658-KIBGF,Female,NO,No,No,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,54.9,54.9,0,1,1,,,,,,,
9728,5567-WSELE,Male,YES,Yes,No,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.6,279.55,1,,,,,,,,,10721,883,5519-YLDGW,Female,NO,Yes,No,21,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,103.9,2254.2,2,2,0,,,,,,,
1160,0137-UDEUO,Female,NO,No,No,3,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.85,63.75,0,,,,,,,,,8517,884,4946-EDSEW,Female,NO,Yes,Yes,11,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.25,180.3,0,1,1,,,,,,,
737,0772-GYEQQ,Male,NO,No,No,3,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Fiber optic,Month-to-month,Mailed check,88.35,262.05,1,,,,,,,,,8042,885,2516-VQRRV,Female,YES,No,No,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,75.45,158.4,0,1,1,,,,,,,
8108,2592-SEIFQ,Male,NO,No,No,3,No,No phone service,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,24.75,66.95,0,,,,,,,,,8351,886,7580-UGXNC,Female,YES,No,No,2,Yes,No,No,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,54.85,104.2,0,1,0,,,,,,,
1898,0404-SWRVG,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,74.4,229.55,0,,,,,,,,,902,887,5178-LMXOP,Male,YES,Yes,No,1,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,95.1,95.1,0,1,1,,,,,,,
732,6023-YEBUP,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,100.95,329.95,0,,,,,,,,,3726,888,8185-UPYBR,Male,NO,Yes,No,6,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,75.5,438,1,1,0,,,,,,,
3207,8258-GSTJK,Male,YES,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,77,237.75,0,,,,,,,,,7453,889,4585-HETAI,Female,NO,Yes,Yes,4,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,73.75,325.45,5,1,1,,,,,,,
2192,5835-BEQEU,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,76.95,228.4,0,,,,,,,,,6302,890,7526-BEZQB,Male,NO,No,No,12,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,96.05,1148.1,1,2,1,,,,,,,
7717,0432-CAJZV,Male,NO,No,No,3,Yes,No,No,No,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Mailed check,90.7,237.65,0,,,,,,,,,3361,891,4951-UKAAQ,Female,NO,No,No,4,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Fiber optic,Month-to-month,Electronic check,88.95,355.2,1,1,0,,,,,,,
979,9057-SIHCH,Female,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,96.6,291.9,1,,,,,,,,,2879,892,2108-YKQTY,Female,NO,No,No,4,Yes,No,No,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Credit card (automatic),50.7,151.3,0,1,1,,,,,,,
7499,8617-ENBDS,Male,NO,No,No,3,Yes,No,Yes,No,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Credit card (automatic),73.6,232.5,0,,,,,,,,,3953,893,4918-QLLIW,Male,NO,No,No,3,Yes,No,No,Yes,No,No,No,No,Yes,No,DSL,Month-to-month,Credit card (automatic),53.4,188.7,0,1,1,,,,,,,
6985,8806-EAGWC,Male,NO,No,No,3,Yes,No,No,Yes,No,No,No,No,Yes,No,DSL,Month-to-month,Mailed check,55.15,159.15,0,,,,,,,,,10479,894,7056-IMHCC,Male,YES,Yes,No,53,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,101.9,5549.4,3,3,0,,,,,,,
1790,4919-MOAVT,Male,NO,No,Yes,3,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.65,220.1,0,,,,,,,,,10110,895,1625-JAIIY,Female,NO,Yes,Yes,68,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,One year,Electronic check,83,5685.8,3,3,0,,,,,,,
6023,8963-JLGJT,Male,NO,No,Yes,3,Yes,No,No,No,Yes,No,Yes,No,No,No,DSL,Month-to-month,Mailed check,55.9,157.55,0,,,,,,,,,5895,896,2947-DOMLJ,Male,NO,No,Yes,1,Yes,No,No,Yes,Yes,No,No,No,No,No,DSL,Month-to-month,Mailed check,50.6,50.6,0,1,0,,,,,,,
6023,8963-JLGJT,Male,NO,No,Yes,3,Yes,No,No,No,Yes,No,Yes,No,No,No,DSL,Month-to-month,Mailed check,55.9,157.55,0,,,,,,,,,10686,897,4112-LUEIZ,Male,NO,No,No,10,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,89.5,863.1,1,2,0,,,,,,,
9555,0374-IOEGQ,Female,NO,No,No,3,Yes,No,No,No,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,44.6,122.7,0,,,,,,,,,4494,898,4510-HIMLV,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.8,69.8,0,1,1,,,,,,,
3460,5095-AESKG,Female,NO,Yes,No,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Fiber optic,Month-to-month,Credit card (automatic),91.5,242.95,0,,,,,,,,,8422,899,8749-JMNKX,Male,YES,Yes,No,51,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Fiber optic,Month-to-month,Bank transfer (automatic),93.8,4750.95,3,3,1,,,,,,,
732,6023-YEBUP,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,100.95,329.95,0,,,,,,,,,9411,900,2430-USGXP,Male,NO,Yes,No,24,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,101.05,2391.8,2,3,1,,,,,,,
3062,0378-TOVMS,Female,NO,No,No,3,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Fiber optic,Month-to-month,Electronic check,85.8,272.2,1,,,,,,,,,3249,901,5955-ERIHD,Male,NO,Yes,No,18,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.7,1687.95,2,2,1,,,,,,,
2049,1589-AGTLK,Male,NO,No,No,3,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,45.35,141.5,0,,,,,,,,,7015,902,0917-EZOLA,Male,YES,Yes,No,72,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Two year,Bank transfer (automatic),104.15,7689.95,4,3,1,,,,,,,
6824,5052-PNLOS,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),105.35,323.25,5,,,,,,,,,8597,903,5949-EBSQK,Male,NO,Yes,Yes,4,Yes,No,No,Yes,No,No,No,Yes,No,Yes,DSL,Month-to-month,Credit card (automatic),61.45,229.55,0,1,1,,,,,,,
2282,7675-OZCZG,Female,YES,No,No,3,Yes,No,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,45,127.1,0,,,,,,,,,146,904,7274-RTAPZ,Male,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,90.55,90.55,1,1,1,,,,,,,
8637,8993-PHFWD,Female,NO,No,No,3,No,No phone service,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,25.25,58.9,0,,,,,,,,,670,905,0311-UNPFF,Female,NO,No,No,26,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),88.8,2274.35,2,2,0,,,,,,,
1271,2055-PDADH,Female,YES,No,No,3,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.4,204.7,0,,,,,,,,,3656,906,3834-XUIFC,Male,NO,No,No,7,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Mailed check,85.2,602.55,1,2,0,,,,,,,
5374,2988-PLAHS,Female,NO,No,No,3,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,DSL,One year,Electronic check,69.95,220.45,0,,,,,,,,,8437,907,8414-MYSHR,Male,YES,No,No,5,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,91.4,449.75,1,1,0,,,,,,,
6824,5052-PNLOS,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),105.35,323.25,5,,,,,,,,,8214,908,7599-FKVXZ,Male,NO,Yes,No,42,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),106.15,4512.7,3,3,0,,,,,,,
5446,4854-CIDCF,Female,YES,No,No,3,Yes,No,No,No,No,No,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,73.85,196.4,0,,,,,,,,,1645,909,8229-TNIQA,Female,NO,No,No,4,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,45.3,196.95,0,1,0,,,,,,,
3276,6168-WFVVF,Female,YES,No,No,3,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.3,235.5,0,,,,,,,,,9519,910,6221-AVQYL,Male,NO,No,No,2,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Credit card (automatic),73.25,131.05,0,1,1,,,,,,,
1117,1087-UDSIH,Female,NO,No,No,3,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.6,59.75,0,,,,,,,,,7780,911,7743-EXURX,Male,NO,Yes,Yes,8,Yes,No,Yes,Yes,No,No,Yes,No,No,No,DSL,Month-to-month,Electronic check,51.05,415.05,1,1,0,,,,,,,
3028,9837-BMCLM,Male,NO,No,No,3,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,78.5,242.05,0,,,,,,,,,7132,912,5569-KGJHX,Female,NO,Yes,Yes,9,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Bank transfer (automatic),85.35,754.65,1,2,1,,,,,,,
799,0268-QKIWO,Female,NO,No,No,3,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Electronic check,19.75,58.85,0,,,,,,,,,8000,913,4988-IQIGL,Male,YES,No,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,75.35,75.35,0,1,1,,,,,,,
10633,1400-MMYXY,Male,YES,Yes,No,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,105.9,334.65,1,,,,,,,,,1569,914,7730-IUTDZ,Male,NO,No,No,43,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,75.2,3198.6,2,3,0,,,,,,,
1583,5567-WSELE,Male,YES,Yes,No,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.6,279.55,1,,,,,,,,,2088,915,0426-TIRNE,Female,NO,No,No,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,20.9,20.9,3,1,1,,,,,,,
9763,5095-AESKG,Female,NO,Yes,No,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Fiber optic,Month-to-month,Credit card (automatic),91.5,242.95,0,,,,,,,,,9083,916,7587-RZNME,Male,NO,No,No,3,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,43.3,123.65,0,1,0,,,,,,,
6824,5052-PNLOS,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),105.35,323.25,5,,,,,,,,,808,917,0748-RDGGM,Male,NO,Yes,No,70,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber optic,One year,Bank transfer (automatic),109.5,7534.65,4,3,1,,,,,,,
3659,4919-MOAVT,Male,NO,No,Yes,3,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.65,220.1,0,,,,,,,,,6896,918,4706-AXVKM,Female,YES,No,No,11,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Credit card (automatic),84.8,906.85,1,2,0,,,,,,,
2643,3237-AJGEH,Female,NO,Yes,Yes,3,No,No phone service,Yes,Yes,No,No,No,Yes,No,No,DSL,Month-to-month,Mailed check,31,95.05,0,,,,,,,,,1856,919,5889-JTMUL,Female,YES,Yes,No,50,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Fiber optic,Month-to-month,Electronic check,95.05,4888.7,3,3,1,,,,,,,
3999,7273-TEFQD,Male,YES,No,No,3,No,No phone service,Yes,Yes,No,No,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,41.15,132.2,0,,,,,,,,,8461,920,9026-RNUJS,Male,YES,No,No,5,Yes,No,No,Yes,No,No,Yes,No,No,No,DSL,Month-to-month,Electronic check,50.35,237.25,0,1,1,,,,,,,
1858,6304-IJFSQ,Male,NO,No,No,3,Yes,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,49.9,130.1,0,,,,,,,,,489,921,3746-EUBYR,Male,NO,Yes,No,1,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),74.6,74.6,0,1,0,,,,,,,
7547,7785-RDVIG,Female,NO,Yes,Yes,3,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.3,54.7,0,,,,,,,,,10426,922,2332-EFBJY,Male,NO,No,No,16,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.7,342.4,1,1,1,,,,,,,
3014,2592-SEIFQ,Male,NO,No,No,3,No,No phone service,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,24.75,66.95,0,,,,,,,,,5043,923,9474-PHLYD,Female,NO,No,No,15,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,DSL,Month-to-month,Electronic check,59.45,892.65,1,2,1,,,,,,,
1460,9611-CTWIH,Female,NO,No,No,3,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,89.45,240.45,0,,,,,,,,,10027,924,2165-VOEGB,Female,NO,No,Yes,46,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber optic,One year,Bank transfer (automatic),105.2,4822.85,3,3,0,,,,,,,
3140,2055-PDADH,Female,YES,No,No,3,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,70.4,204.7,0,,,,,,,,,260,925,2219-MVUSO,Male,NO,No,No,8,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,45.15,438.4,1,1,0,,,,,,,
3173,4398-HSCJH,Female,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,DSL,Month-to-month,Electronic check,63.6,155.65,0,,,,,,,,,530,926,8914-RBTSB,Male,NO,Yes,No,31,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Fiber optic,Month-to-month,Electronic check,93.8,3019.5,2,3,0,,,,,,,
4602,9944-HKVVB,Female,NO,No,No,3,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,95.1,307.4,1,,,,,,,,,6140,927,0963-ZBDRN,Male,NO,No,No,32,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber optic,Month-to-month,Electronic check,96.2,3183.4,2,3,1,,,,,,,
2910,3815-SLMEF,Female,NO,No,No,3,No,No phone service,No,Yes,Yes,No,No,Yes,No,No,DSL,Month-to-month,Mailed check,34.25,139.35,0,,,,,,,,,2286,928,7594-RQHXR,Female,NO,No,Yes,1,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Fiber optic,Month-to-month,Electronic check,79.6,79.6,0,1,0,,,,,,,
235,7074-IEVOJ,Female,YES,No,No,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber optic,Month-to-month,Electronic check,79.4,205.05,0,,,,,,,,,4197,929,6331-EWIEB,Male,NO,No,No,20,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,85.25,1734.5,2,2,0,,,,,,,
3452,5567-WSELE,Male,YES,Yes,No,3,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Electronic check,94.6,279.55,1,,,,,,,,,3065,930,5998-VVEJY,Male,NO,No,No,26,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber optic,Month-to-month,Electronic check,80.5,2088.8,2,2,0,,,,,,,
301,4086-YQSNZ,Female,YES,Yes,No,3,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,80.4,224.05,0,,,,,,,,,1103,931,1624-NALOJ,Male,YES,No,No,5,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Fiber optic,Month-to-month,Electronic check,89.8,502.6,4,2,0,,,,,,,
239,6680-WKXRZ,Female,NO,No,No,3,Yes,Yes,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),74.4,215.8,0,,,,,,,,,9565,932,4317-VTEOA,Male,NO,No,No,1,Yes,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,50.75,50.75,0,1,0,,,,,,,
8358,4290-BSXUX,Male,NO,Yes,No,3,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),79.65,251.75,0,,,,,,,,,5764,933,1670-SVOWZ,Female,NO,Yes,Yes,14,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Fiber optic,Month-to-month,Credit card (automatic),89.65,1208.35,1,2,0,,,,,,,
1304,4398-HSCJH,Female,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,DSL,Month-to-month,Electronic check,63.6,155.65,0,,,,,,,,,4635,934,7541-YLXCL,Male,NO,No,No,36,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,DSL,One year,Mailed check,65.4,2498.4,2,3,1,,,,,,,
10520,4919-MOAVT,Male,NO,No,Yes,3,Yes,No,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,69.65,220.1,0,,,,,,,,,1900,935,0260-ZDLGK,Female,NO,No,Yes,9,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,DSL,Month-to-month,Mailed check,72.9,651.4,1,2,0,,,,,,,
1858,6304-IJFSQ,Male,NO,No,No,3,Yes,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,49.9,130.1,0,,,,,,,,,9468,936,8722-NGNBH,Male,NO,No,No,5,No,No phone service,No,Yes,Yes,No,Yes,Yes,No,No,DSL,Month-to-month,Mailed check,40,223.45,0,1,0,,,,,,,
9997,5066-GFJMM,Female,NO,Yes,No,3,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Mailed check,19.9,45.75,4,,,,,,,,,860,937,6210-KBBPI,Male,YES,No,No,9,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Fiber optic,Month-to-month,Credit card (automatic),99.45,919.4,1,2,0,,,,,,,
7717,0432-CAJZV,Male,NO,No,No,3,Yes,No,No,No,No,No,No,No,Yes,Yes,Fiber optic,Month-to-month,Mailed check,90.7,237.65,0,,,,,,,,,1785,938,0133-BMFZO,Female,NO,No,No,2,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber optic,Month-to-month,Electronic check,86.25,181.65,0,1,0,,,,,,,
323,5835-BEQEU,Male,NO,No,No,3,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,76.95,228.4,0,,,,,,,,,7441,939,6128-CZOMY,Female,NO,No,No,1,Yes,No,Yes,Yes,No,No,No,No,No,No,DSL,Month-to-month,Electronic check,45.65,45.65,4,1,0,,,,,,,
5883,1763-WQFUK,Male,NO,No,No,3,Yes,No,Yes,No,No,No,No,Yes,No,No,DSL,Month-to-month,Mailed check,50.5,147.75,0,,,,,,,,,8789,940,9540-JYROE,Male,NO,No,No,8,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Mailed check,70.1,551.35,1,2,0,,,,,,,
4928,3916-NRPAP,Male,NO,No,No,3,Yes,No,No,No,No,No,Yes,No,No,Yes,Fiber optic,Month-to-month,Credit card (automatic),85.7,256.75,0,,,,,,,,,7591,941,2260-USTRB,Female,YES,No,No,2,Yes,No,Yes,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Bank transfer (automatic),70.2,115.95,0,1,0,,,,,,,
1660,6956-SMUCM,Female,NO,No,No,3,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Fiber optic,Month-to-month,Credit card (automatic),99,287.4,1,,,,,,,,,4297,942,3656-TKRVZ,Female,NO,No,No,3,Yes,No,No,Yes,Yes,Yes,No,No,No,No,DSL,Month-to-month,Electronic check,55.35,165.2,0,1,0,,,,,,,
1858,6304-IJFSQ,Male,NO,No,No,3,Yes,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-month,Mailed check,49.9,130.1,0,,,,,,,,,850,943,8623-TMRBY,Male,YES,Yes,Yes,51,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Fiber optic,Month-to-month,Electronic check,84.2,4146.05,2,3,0,,,,,,,
2170,4086-YQSNZ,Female,YES,Yes,No,3,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Fiber optic,Month-to-month,Electronic check,80.4,224.05,0,,,,,,,,,6292,944,1501-SGHBW,Male,NO,No,No,2,Yes,No,No,Yes,No,No,No,No,No,No,DSL,Month-to-month,Mailed check,45.85,81,0,1,1,,,,,,,
7624,4090-KPJIP,Female,NO,No,No,3,Yes,Yes,Yes,No,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,74.95,212.4,0,,,,,,,,,3139,945,3208-YPIOE,Male,NO,No,No,39,Yes,Yes,No,Yes,No,No,No,No,No,No,Fiber optic,Month-to-month,Electronic check,75.25,3017.65,2,3,1,,,,,,,
